Article Title,Source Title,"Times Cited, All Databases",Publication Year
An algorithm for constructing local regions in a phylogenetic network,MOLECULAR PHYLOGENETICS AND EVOLUTION,9,2001
Netcombin: An algorithm for constructing optimal phylogenetic network from rooted triplets,PLOS ONE,1,2020
Cheating in arbuscular mycorrhizal mutualism: a network and phylogenetic analysis of mycoheterotrophy,NEW PHYTOLOGIST,25,2020
Reticulate evolutionary history and extensive introgression in mosquito species revealed by phylogenetic network analysis,MOLECULAR ECOLOGY,91,2016
Phylogenetic Molecular Ecological Network of Soil Microbial Communities in Response to Elevated CO2,MBIO,787,2011
Birds perching on bushes: Networks to visualize conflicting phylogenetic signals during early avian radiation,COMPTES RENDUS PALEVOL,3,2013
NCHB: A method for constructing rooted phylogenetic networks from rooted triplets based on height function and binarization,JOURNAL OF THEORETICAL BIOLOGY,3,2020
Comparison of complex networks and tree-based methods of phylogenetic analysis and proposal of a bootstrap method,PEERJ,5,2018
Dynamic Community Discovery Method Based on Phylogenetic Planted Partition in Temporal Networks,APPLIED SCIENCES-BASEL,0,2022
A scalability study of phylogenetic network inference methods using empirical datasets and simulations involving a single reticulation,BMC BIOINFORMATICS,38,2016
Tree-average distances on certain phylogenetic networks have their weights uniquely determined,ALGORITHMS FOR MOLECULAR BIOLOGY,21,2012
Fire modifies the phylogenetic structure of soil bacterial co-occurrence networks,ENVIRONMENTAL MICROBIOLOGY,51,2017
On the inference of complex phylogenetic networks by Markov Chain Monte-Carlo,PLOS COMPUTATIONAL BIOLOGY,7,2021
Predicting the impacts of co-extinctions on phylogenetic diversity in mutualistic networks,BIOLOGICAL CONSERVATION,9,2018
Phylogenetic inference using generative adversarial networks,BIOINFORMATICS,2,2023
"Algebraic comparison of metabolic networks, phylogenetic inference, and metabolic innovation",BMC BIOINFORMATICS,36,2006
The net of life: Reconstructing the microbial phylogenetic network,GENOME RESEARCH,213,2005
An efficiently computed lower bound on the number of recombinations in phylogenetic networks: Theory and empirical study,DISCRETE APPLIED MATHEMATICS,24,2007
Unique reconstruction of tree-like phylogenetic networks from distances between leaves,BULLETIN OF MATHEMATICAL BIOLOGY,9,2006
Incorporating phylogenetic metrics to microbial co-occurrence networks based on amplicon sequences to discern community assembly processes,MOLECULAR ECOLOGY RESOURCES,36,2019
Understanding tissue expression evolution: from expression phylogeny to phylogenetic network,BRIEFINGS IN BIOINFORMATICS,12,2016
MC-Net: a method for the construction of phylogenetic networks based on the Monte-Carlo method,BMC EVOLUTIONARY BIOLOGY,10,2010
Integrating Phylogenetic and Network Approaches to Study Gene Family Evolution: The Case of the AGAMOUS Family of Floral Genes,EVOLUTIONARY BIOINFORMATICS,6,2018
CONSTRUCTING A MINIMUM PHYLOGENETIC NETWORK FROM A DENSE TRIPLET SET,JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,5,2012
Fast Construction of Near Parsimonious Hybridization Networks for Multiple Phylogenetic Trees,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,5,2016
BACKPROPAGATION AND COUNTER-PROPAGATION NEURAL NETWORKS FOR PHYLOGENETIC CLASSIFICATION OF RIBOSOMAL-RNA SEQUENCES,NUCLEIC ACIDS RESEARCH,34,1994
PPNet: Identifying Functional Association Networks by Phylogenetic Profiling of Prokaryotic Genomes,MICROBIOLOGY SPECTRUM,1,2023
Analysis of network architecture reveals phylogenetic constraints on mycorrhizal specificity in the genus Orchis (Orchidaceae),NEW PHYTOLOGIST,142,2011
Study of the influence of the phylogenetic distance on the interaction network of mutualistic ecosystems,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,4,2014
Networks in a Large-Scale Phylogenetic Analysis: Reconstructing Evolutionary History of Asparagales (Lilianae) Based on Four Plastid Genes,PLOS ONE,131,2013
Controlled recovery of phylogenetic communities from an evolutionary model using a network approach,PHYSICAL REVIEW E,0,2016
Phylogenetic Trees and Networks Reduce to Phylogenies on Binary States: Does It Furnish an Explanation to the Robustness of Phylogenetic Trees against Lateral Transfers?,EVOLUTIONARY BIOINFORMATICS,1,2015
"Multigene phylogeny, phylogenetic network, and morphological characterizations reveal four new arthropod-associated Simplicillium species and their evolutional relationship",FRONTIERS IN MICROBIOLOGY,4,2022
"FAVITES: simultaneous simulation of transmission networks, phylogenetic trees and sequences",BIOINFORMATICS,31,2019
A new type of unsupervised growing neural network for biological sequence classification that adopts the topology of a phylogenetic tree,BIOLOGICAL AND ARTIFICIAL COMPUTATION: FROM NEUROSCIENCE TO TECHNOLOGY,5,1997
Phylogenetic Trees and Networks Can Serve as Powerful and Complementary Approaches for Analysis of Genomic Data,SYSTEMATIC BIOLOGY,62,2020
ON COMPUTING THE MAXIMUM PARSIMONY SCORE OF A PHYLOGENETIC NETWORK,SIAM JOURNAL ON DISCRETE MATHEMATICS,17,2015
Phylogenetic Dependency Networks: Inferring Patterns of CTL Escape and Codon Covariation in HIV-1 Gag,PLOS COMPUTATIONAL BIOLOGY,117,2008
Neighbor-Net: An agglomerative method for the construction of phylogenetic networks,MOLECULAR BIOLOGY AND EVOLUTION,1592,2004
Phylometrics: a pipeline for inferring phylogenetic trees from a sequence relationship network perspective,BMC BIOINFORMATICS,2,2010
Implementing Large Genomic Single Nucleotide Polymorphism Data Sets in Phylogenetic Network Reconstructions: A Case Study of Particularly Rapid Radiations of Cichlid Fish,SYSTEMATIC BIOLOGY,32,2020
Investigation of factors affecting prediction of protein-protein interaction networks by phylogenetic profiling,BMC GENOMICS,16,2007
Inference of Transmission Network Structure from HIV Phylogenetic Trees,PLOS COMPUTATIONAL BIOLOGY,24,2017
The compatibility of binary characters on phylogenetic networks: Complexity and parameterized algorithms,ALGORITHMICA,4,2008
Limitations to contact tracing and phylogenetic analysis in establishing HIV type 1 transmission networks in Cuba,AIDS RESEARCH AND HUMAN RETROVIRUSES,42,2007
Phylogeny and evolutionary histories of Pyrus L. revealed by phylogenetic trees and networks based on data from multiple DNA sequences,MOLECULAR PHYLOGENETICS AND EVOLUTION,59,2014
Traditional pathology and phylogenetic networking confirm the pathogen causing date palm wilt,PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES,0,2023
Construction and comparative analysis of two-component system and metabolic network profile based phylogenetic trees,BIOTECHNOLOGY AND BIOPROCESS ENGINEERING,1,2009
Strong specificity and network modularity at a very fine phylogenetic scale in the lichen genus Peltigera,OECOLOGIA,24,2018
Assessment of Overlap of Phylogenetic Transmission Clusters and Communities in Simple Sexual Contact Networks: Applications to HIV-1,PLOS ONE,27,2016
Co-Inheritance Analysis within the Domains of Life Substantially Improves Network Inference by Phylogenetic Profiling,PLOS ONE,19,2015
Combinatorial characterization of a certain class of words and a conjectured connection with general subclasses of phylogenetic tree-child networks,SCIENTIFIC REPORTS,2,2021
Phylogenetic networks: a new form of multivariate data summary for data mining and exploratory data analysis,WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,17,2014
Detecting phylogenetic signal in mutualistic interaction networks using a Markov process model,OIKOS,22,2014
Ultrametric networks: a new tool for phylogenetic analysis,ALGORITHMS FOR MOLECULAR BIOLOGY,6,2013
New Approach for Phylogenetic Tree Recovery Based on Genome-Scale Metabolic Networks,JOURNAL OF COMPUTATIONAL BIOLOGY,6,2014
The Volcano Rabbit in the Phylogenetic Network of Lagomorphs,GENOME BIOLOGY AND EVOLUTION,5,2019
SOPHIE: Viral outbreak investigation and transmission history reconstruction in a joint phylogenetic and network theory framework,CELL SYSTEMS,1,2022
The PNarec method for detection of ancient recombinations through phylogenetic network analysis,MOLECULAR PHYLOGENETICS AND EVOLUTION,1,2013
The Algebra of the General Markov Model on Phylogenetic Trees and Networks,BULLETIN OF MATHEMATICAL BIOLOGY,12,2012
Phylogenetic networks to study the origin and evolution of porcine circovirus type 2 (PCV2) in Cuba,VETERINARY MICROBIOLOGY,37,2011
The Probability of a Gene Tree Topology within a Phylogenetic Network with Applications to Hybridization Detection,PLOS GENETICS,165,2012
"Optimal, efficient reconstruction of root-unknown phylogenetic networks with constrained and structured recombination",JOURNAL OF COMPUTER AND SYSTEM SCIENCES,47,2005
Phylogenetic Correlation and Symbiotic Network Explain the Interdependence Between Plants and Arbuscular Mycorrhizal Fungi in a Tibetan Alpine Meadow,FRONTIERS IN PLANT SCIENCE,6,2021
Hepatitis C Virus Phylogenetic Clustering Is Associated with the Social-Injecting Network in a Cohort of People Who Inject Drugs,PLOS ONE,64,2012
Chemotherapy Alters the Phylogenetic Molecular Ecological Networks of Intestinal Microbial Communities,FRONTIERS IN MICROBIOLOGY,8,2019
Coalescent Histories on Phylogenetic Networks and Detection of Hybridization Despite Incomplete Lineage Sorting,SYSTEMATIC BIOLOGY,165,2011
Food web reconstruction through phylogenetic transfer of low-rank network representation,METHODS IN ECOLOGY AND EVOLUTION,6,2022
High resolution analysis and phylogenetic network construction using complete mtDNA sequences in Sardinian genetic isolates,MOLECULAR BIOLOGY AND EVOLUTION,55,2006
Reconstruction of some hybrid phylogenetic networks with homoplasies from distances,BULLETIN OF MATHEMATICAL BIOLOGY,6,2007
Phylogenetic and Haplotype Network Analyses of Diaporthe eres Species in China Based on Sequences of Multiple Loci,BIOLOGY-BASEL,22,2021
How far is my network from being edge-based? Proximity measures for edge-basedness of unrooted phylogenetic networks,DISCRETE APPLIED MATHEMATICS,0,2023
Phylogenetic signals in flea-host interaction networks from four biogeographic realms: differences between interactors and the effects of environmental factors,INTERNATIONAL JOURNAL FOR PARASITOLOGY,4,2022
"Phylogenetic network analysis of South and North American Corynespora cassiicola isolates from tomato, cucumber, and novel hosts",EUROPEAN JOURNAL OF PLANT PATHOLOGY,3,2022
Phylogenetic Network Analysis Revealed the Occurrence of Horizontal Gene Transfer of 16S rRNA in the Genus Enterobacter,FRONTIERS IN MICROBIOLOGY,15,2017
A node-depth phylogenetic-based artificial immune system for multi-objective Network Design Problems,SWARM AND EVOLUTIONARY COMPUTATION,8,2019
"TREEasy: An automated workflow to infer gene trees, species trees, and phylogenetic networks from multilocus data",MOLECULAR ECOLOGY RESOURCES,7,2020
Rooted NNI moves and distance-1 tail moves on tree-based phylogenetic networks,DISCRETE APPLIED MATHEMATICS,3,2021
Close lower and upper bounds for the minimum reticulate network of multiple phylogenetic trees,BIOINFORMATICS,37,2010
Phylogenetic rewiring in mycorrhizal-plant interaction networks increases community stability in naturally fragmented landscapes,COMMUNICATIONS BIOLOGY,4,2019
"Phylogenetic, ontogenetic and adult adaptive plasticity of rhythmic neural networks:: a common neuromodulatory mechanism?",JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,21,2004
Phylogenetic network of Linum species as revealed by non-coding chloroplast DNA sequences,GENETIC RESOURCES AND CROP EVOLUTION,54,2010
Trees on networks: resolving statistical patterns of phylogenetic similarities among interacting proteins,BMC BIOINFORMATICS,3,2010
Phylogenetic reconstruction of ancestral ecological networks through time for pierid butterflies and their host plants,ECOLOGY LETTERS,14,2021
Inferring influenza global transmission networks without complete phylogenetic information,EVOLUTIONARY APPLICATIONS,4,2014
"Exploring the sequence, function, and evolutionary space of protein superfamilies using sequence similarity networks and phylogenetic reconstructions",NEW APPROACHES FOR FLAVIN CATALYSIS,18,2019
"Microbial network, phylogenetic diversity and community membership in the active layer across a permafrost thaw gradient",ENVIRONMENTAL MICROBIOLOGY,53,2017
In Silico Interactome Network Analysis and Phylogenetic Relationship of Potato Peroxidases and Catalases,JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY,1,2019
"A Genome-Wide Survey, Model Selection, Phylogenetic Analysis and Protein-Protein Interactional Network Profile of the Metazoan PRKAG Genes from 22 Vertebrate Genomes",INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY,0,2019
The structure of temperate phage - bacteria infection networks changes with the phylogenetic distance of the host bacteria,BIOLOGY LETTERS,12,2018
"Combining Phylogenetic and Network Approaches to Identify HIV-1 Transmission Links in San Mateo County, California",FRONTIERS IN MICROBIOLOGY,9,2018
"Untangling long branches: Identifying conflicting phylogenetic signals using spectral analysis, neighbor-net, and consensus networks",SYSTEMATIC BIOLOGY,56,2005
Limited overlap between phylogenetic HIV and hepatitis C virus clusters illustrates the dynamic sexual network structure of Dutch HIV-infected MSM,AIDS,13,2017
Age-based dynamic changes of phylogenetic composition and interaction networks of health pig gut microbiome feeding in a uniformed condition,BMC VETERINARY RESEARCH,69,2019
Phylogenetic Networks and Parameters Inferred from HIV Nucleotide Sequences of High-Risk and General Population Groups in Uganda: Implications for Epidemic Control,VIRUSES-BASEL,4,2021
Phylogenetic structure of European Salmonella Enteritidis outbreak correlates with national and international egg distribution network,MICROBIAL GENOMICS,66,2016
Phylogenetic relatedness explains highly interconnected and nested symbiotic networks of woody plants and arbuscular mycorrhizal fungi in a Chinese subtropical forest,MOLECULAR ECOLOGY,39,2017
Use of Structural Phylogenetic Networks for Classification of the Ferritin-like Superfamily,JOURNAL OF BIOLOGICAL CHEMISTRY,64,2012
Phylogenetic reconstruction of a known HIV-1CRF04_cpx transmission network using maximum likelihood and Bayesian methods,JOURNAL OF MOLECULAR EVOLUTION,28,2004
Evolutionary network genomics of wood formation in a phylogenetic survey of angiosperm forest trees,NEW PHYTOLOGIST,9,2020
"Herb-Induced Liver Injury: Phylogenetic Relationship, Structure-Toxicity Relationship, and Herb-Ingredient Network Analysis",INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,44,2019
Phylogenetic clustering networks among heterosexual migrants with new HIV diagnoses post-migration in Australia,PLOS ONE,4,2020
Resolving cryptic species complexes in marine protists: phylogenetic haplotype networks meet global DNA metabarcoding datasets,ISME JOURNAL,26,2021
Quantifying species contributions to ecosystem processes: a global assessment of functional trait and phylogenetic metrics across avian seed-dispersal networks,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,56,2016
Developing assembly line layout for delayed product differentiation using phylogenetic networks,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,25,2015
Studying the evolutionary relationships and phylogenetic trees of 21 groups of tRNA sequences based on complex networks,JOURNAL OF BIOLOGICAL PHYSICS,0,2012
"Multiple Assembly Rules Drive the Co-occurrence of Orthopteran and Plant Species in Grasslands: Combining Network, Functional and Phylogenetic Approaches",FRONTIERS IN PLANT SCIENCE,7,2016
Clinical and phylogenetic influenza dynamics for the 2019-20 season in the global influenza hospital surveillance network (GIHSN) - Pilot study,JOURNAL OF CLINICAL VIROLOGY,0,2022
"Transmission Dynamics of Bovine Viral Diarrhea Virus in Hokkaido, Japan by Phylogenetic and Epidemiological Network Approaches",PATHOGENS,4,2021
Divergence and reticulation in the Mexican white oaks: ecological and phylogenomic evidence on species limits and phylogenetic networks in the Quercus laeta complex (Fagaceae),ANNALS OF BOTANY,0,2024
PopPhy-CNN: A Phylogenetic Tree Embedded Architecture for Convolutional Neural Networks to Predict Host Phenotype From Metagenomic Data,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,34,2020
Relic of ancient recombinations in gibbon ABO blood group genes deciphered through phylogenetic network analysis,MOLECULAR PHYLOGENETICS AND EVOLUTION,10,2009
Detection and Phylogenetic Analysis of the Hepatitis E Virus in a Canadian Swine Production Network,FOOD AND ENVIRONMENTAL VIROLOGY,23,2016
Optimization of conservation network based on phylogenetic diversity-A case of some vascular plants on the Qinghai - Tibet Plateau,BIODIVERSITY AND CONSERVATION,0,2024
Hierarchical-taxonomy-aware and attentional convolutional neural networks for acoustic identification of bird species: A phylogenetic perspective,ECOLOGICAL INFORMATICS,0,2024
"Genome-Wide Phylogenetic Analysis, Expression Pattern, and Transcriptional Regulatory Network of the Pig C/EBP Gene Family",EVOLUTIONARY BIOINFORMATICS,0,2021
Classification and molecular organization of satellites elucidated by phylogenetic network analysis -: examples from Triturus salamanders and Palorus beetles,CHROMOSOMA,0,2002
A Phylogenetic Estimation of Trophic Transition Networks for Ascomycetous Fungi: Are Lichens Cradles of Symbiotrophic Fungal Diversification?,SYSTEMATIC BIOLOGY,311,2009
Phylogenetic network and physicochemical properties of nonsynonymous mutations in the protein-coding genes of human mitochondrial DNA,MOLECULAR BIOLOGY AND EVOLUTION,51,2003
Phylogenetic network of the mtDNA haplogroup U in northern Finland based on sequence analysis of the complete coding region by conformation-sensitive gel electrophoresis,AMERICAN JOURNAL OF HUMAN GENETICS,92,2000
Micro-computed tomography of spicule networks in three genera of dorid sea-slugs (Gastropoda: Nudipleura: Doridina) shows patterns of phylogenetic significance,ACTA ZOOLOGICA,15,2020
"The characteristics of HIV-1 subtype B on phylogenetic dynamic and molecular transmission network in Fuyang City, China, 2011 to 2019",FRONTIERS IN PUBLIC HEALTH,0,2023
"Dissecting biodiversity: assessing the taxonomic, functional and phylogenetic structure of an insect metacommunity in a river network using morphological and metabarcoding data",EUROPEAN ZOOLOGICAL JOURNAL,2,2023
Phylogenetic Investigation of a Statewide HIV-1 Epidemic Reveals Ongoing and Active Transmission Networks Among Men Who Have Sex With Men,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,46,2015
"Phylogenetic analysis and haplotype networking of Hepatozoon felis infecting wild animals in Gir National Park, Gujarat, India",PARASITOLOGY RESEARCH,0,2024
The complete mitochondrial genome sequence of the network pipefish (Corythoichthys flavofasciatus) and the analyses of phylogenetic relationships within the Syngnathidae species,MARINE GENOMICS,10,2015
Evaluation of Phylogenetic Methods for Inferring the Direction of Human Immunodeficiency Virus (HIV) Transmission: HIV Prevention Trials Network (HPTN) 052,CLINICAL INFECTIOUS DISEASES,12,2021
Networks of Gene Sharing among 329 Proteobacterial Genomes Reveal Differences in Lateral Gene Transfer Frequency at Different Phylogenetic Depths,MOLECULAR BIOLOGY AND EVOLUTION,130,2011
Evolution of the gene families forming the Pax/Six regulatory network:: Isolation of genes from primitive animals and molecular phylogenetic analyses,FEBS LETTERS,39,2007
"Transmission network and phylogenetic analysis reveal older male-centered transmission of CRF01_AE and CRF07_BC in Guangxi, China",EMERGING MICROBES & INFECTIONS,8,2023
Non-disclosed men who have sex with men in UK HIV transmission networks: phylogenetic analysis of surveillance data,LANCET HIV,36,2018
"Transmission networks and risk of HIV infection in KwaZulu-Natal, South Africa: a community-wide phylogenetic study",LANCET HIV,208,2017
HIV-1 transmission networks in high risk fishing communities on the shores of Lake Victoria in Uganda: A phylogenetic and epidemiological approach,PLOS ONE,21,2017
"New HIV-1 circulating recombinant form 94: from phylogenetic detection of a large transmission cluster to prevention in the age of geosocial-networking apps in France, 2013 to 2017",EUROSURVEILLANCE,3,2019
Phylogenetic and network analysis of Pediculus humanus in Nigeria reveal the presences of clade E body lice and novel haplotypes,PARASITOLOGY RESEARCH,0,2023
"Identification and evolutionary dynamics of two novel human coronavirus OC43 genotypes associated with acute respiratory infections: phylogenetic, spatiotemporal and transmission network analyses",EMERGING MICROBES & INFECTIONS,24,2017
"The use of parsimony network analysis for the formal delineation of phylogenetic species of yeasts: Candida apicola, Candida azyma, and Candida parazyma sp nov., cosmopolitan yeasts associated with floricolous insects",ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,41,2010
Display sets of normal and tree-child networks,ELECTRONIC JOURNAL OF COMBINATORICS,1,2021
Maximum likelihood of phylogenetic networks,BIOINFORMATICS,98,2006
CSD Homomorphisms between Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,6,2012
Phylogenetic relatedness enhances the understanding of soil microbial coexistence in alpine wetlands of the Tibetan Plateau,SOIL BIOLOGY & BIOCHEMISTRY,1,2023
Frin: An Efficient Method for Representing Genome Evolutionary History,FRONTIERS IN GENETICS,2,2019
On the Subnet Prune and Regraft Distance,ELECTRONIC JOURNAL OF COMBINATORICS,0,2019
"Tree-based networks: characterisations, metrics, and support trees",JOURNAL OF MATHEMATICAL BIOLOGY,9,2019
Exploring spaces of semi-directed level-1 networks,JOURNAL OF MATHEMATICAL BIOLOGY,0,2023
Generating normal networks via leaf insertion and nearest neighbor interchange,BMC BIOINFORMATICS,8,2019
The key sulfometuron-methyl degrading bacteria isolation based on soil bacterial phylogenetic molecular ecological networks and application for bioremediation of contaminated soil by immobilization,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,4,2022
A QUBO formulation for the Tree Containment problem,THEORETICAL COMPUTER SCIENCE,0,2023
A decomposition theorem and two algorithms for reticulation-visible networks,INFORMATION AND COMPUTATION,24,2017
MEASURE OF DENSENESS OF PHYLOGENETIC NETWORK,JOURNAL OF MOLECULAR EVOLUTION,10,1978
New characterisations of tree-based networks and proximity measures,ADVANCES IN APPLIED MATHEMATICS,16,2018
Phylogenetic network inferences through efficient haplotyping,"ALGORITHMS IN BIOINFORMATICS, PROCEEDINGS",2,2006
Homegrown computer roots out phylogenetic networks,NATURE,2,2000
Generation of Level-k LGT Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,4,2020
Microbial Phylogenetic Context Using Phylogenetic Outlines,GENOME BIOLOGY AND EVOLUTION,4,2021
Deciding the existence of a cherry-picking sequence is hard on two trees,DISCRETE APPLIED MATHEMATICS,5,2019
An algorithm for reconstructing ultrametric tree-child networks from inter-taxa distances,DISCRETE APPLIED MATHEMATICS,13,2016
Reconstructing the evolutionary history of polyploids from multilabeled trees,MOLECULAR BIOLOGY AND EVOLUTION,73,2006
"Transfer index, NetUniFrac and some useful shortest path-based distances for community analysis in sequence similarity networks",BIOINFORMATICS,2,2020
Phylogenomic networks,TRENDS IN MICROBIOLOGY,60,2011
Different influences of phylogenetically conserved and independent floral traits on plant functional specialization and pollination network structure,FRONTIERS IN PLANT SCIENCE,0,2023
Community level niche overlap and broad scale biogeographic patterns of bee communities are driven by phylogenetic history,JOURNAL OF BIOGEOGRAPHY,7,2018
Caterpillars on three and four leaves are sufficient to reconstruct binary normal networks,JOURNAL OF MATHEMATICAL BIOLOGY,5,2020
Characterizing weak compatibility in terms of weighted quartets,ADVANCES IN APPLIED MATHEMATICS,1,2009
Star network analysis of sequence based identified Yarrowia lipolytica strains,TURKISH JOURNAL OF BIOCHEMISTRY-TURK BIYOKIMYA DERGISI,2,2014
Detection of recombinations through phylogenetic network construction,GENES & GENETIC SYSTEMS,0,2012
Assessing the fit of the multi-species network coalescent to multi-locus data,BIOINFORMATICS,9,2021
Modularity of trophic network is driven by phylogeny and migration in a steppe ecosystem,ECOLOGICAL COMPLEXITY,0,2019
Seeing the trees and their branches in the network is hard,THEORETICAL COMPUTER SCIENCE,61,2008
Phylogenetic trait-based analyses of ecological networks,ECOLOGY,70,2013
Molecular Analysis of Human Immunodeficiency Virus Type 1 (HIV-1)-Infected Individuals in a Network-Based Intervention (Transmission Reduction Intervention Project): Phylogenetics Identify HIV-1-Infected Individuals With Social Links,JOURNAL OF INFECTIOUS DISEASES,18,2018
Non-random coextinctions in phylogenetically structured mutualistic networks,NATURE,424,2007
How Much Information is Needed to Infer Reticulate Evolutionary Histories?,SYSTEMATIC BIOLOGY,25,2015
Encoding and ordering X-cactuses,ADVANCES IN APPLIED MATHEMATICS,2,2023
Consistency of the Neighbor-Net algorithm,ALGORITHMS FOR MOLECULAR BIOLOGY,34,2007
Reconstruction of LGT networks from tri-LGT-nets,JOURNAL OF MATHEMATICAL BIOLOGY,1,2017
"Phylogenetic Comparative Methods on Phylogenetic Networks with Reticulations (vol 67, pg 800, 2018)",SYSTEMATIC BIOLOGY,0,2019
In the light of deep coalescence: revisiting trees within networks,BMC BIOINFORMATICS,31,2016
Connectome topology of mammalian brains and its relationship to taxonomy and phylogeny,FRONTIERS IN NEUROSCIENCE,2,2023
Fast algorithm for the reconciliation of gene trees and LGT networks,JOURNAL OF THEORETICAL BIOLOGY,7,2017
Forest-Based Networks,BULLETIN OF MATHEMATICAL BIOLOGY,0,2022
"Human Immunodeficiency Virus (HIV) Drug Resistance, Phylogenetic Analysis, and Superinfection Among Men Who Have Sex With Men and Transgender Women in Sub-Saharan Africa: HIV Prevention Trials Network (HPTN) 075 Study",CLINICAL INFECTIOUS DISEASES,3,2021
Consistency of the QNet algorithm for generating planar split networks from weighted quartets,DISCRETE APPLIED MATHEMATICS,8,2009
Characterization of Reticulate Networks Based on the Coalescent with Recombination,MOLECULAR BIOLOGY AND EVOLUTION,24,2008
HYBRIDIZATION NUMBER ON THREE ROOTED BINARY TREES IS EPT,SIAM JOURNAL ON DISCRETE MATHEMATICS,12,2016
Trade-Offs Between Efficiency and Robustness in Bacterial Metabolic Networks Are Associated with Niche Breadth,JOURNAL OF MOLECULAR EVOLUTION,8,2009
Networks of epiphytic orchids and host trees in Brazilian gallery forests,JOURNAL OF TROPICAL ECOLOGY,28,2010
Quarnet Inference Rules for Level-1 Networks,BULLETIN OF MATHEMATICAL BIOLOGY,4,2018
On the Elusiveness of Clusters,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,12,2012
Computing the Bounds of the Number of Reticulations in a Tree-Child Network That Displays a Set of Trees,JOURNAL OF COMPUTATIONAL BIOLOGY,0,2024
Reconstructing patterns of reticulate evolution UN plants,AMERICAN JOURNAL OF BOTANY,388,2004
All galls are divided into three or more parts: recursive enumeration of labeled histories for galled trees,ALGORITHMS FOR MOLECULAR BIOLOGY,2,2023
The role of evolutionary modes for trait-based cascades in mutualistic networks,ECOLOGICAL MODELLING,1,2022
Orchard Networks are Trees with Additional Horizontal Arcs,BULLETIN OF MATHEMATICAL BIOLOGY,6,2022
Finding a most parsimonious or likely tree in a network with respect to an alignment,JOURNAL OF MATHEMATICAL BIOLOGY,2,2019
The rigid hybrid number for two phylogenetic trees,JOURNAL OF MATHEMATICAL BIOLOGY,4,2021
On Determining if Tree-based Networks Contain Fixed Trees,BULLETIN OF MATHEMATICAL BIOLOGY,12,2016
Gene annotation and network inference by phylogenetic profiling,BMC BIOINFORMATICS,23,2006
A BAYESIAN APPROACH TO MODELLING RETICULATION EVENTS WITH APPLICATION TO THE RIBOSOMAL PROTEIN GENE rps11 OF FLOWERING PLANTS,AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,1,2012
Navigating transmission networks with genomics and phylogenetic trees,FUTURE VIROLOGY,1,2010
Deconstructing the relationships between phylogenetic diversity and ecology: a case study on ecosystem functioning,ECOLOGY,34,2016
Computing galled networks from real data,BIOINFORMATICS,54,2009
The relative contribution of abundance and phylogeny to the structure of plant facilitation networks,OIKOS,61,2011
From a phylogenetic tree to a reticulated network,JOURNAL OF COMPUTATIONAL BIOLOGY,66,2004
A Polynomial-Time Algorithm for Minimizing the Deep Coalescence Cost for Level-1 Species Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,4,2022
Counting and enumerating tree-child networks and their subclasses,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,18,2020
The temporal dynamics of resource use by frugivorous birds: a network approach,ECOLOGY,126,2009
"Biological networks: Comparison, conservation, and evolutionary trees (Extended abstract)","RESEARCH IN COMPUTATIONAL MOLECULAR BIOLOGY, PROCEEDINGS",3,2006
Revisiting Shao and Sokal's B2 index of phylogenetic balance,JOURNAL OF MATHEMATICAL BIOLOGY,3,2021
Bayesian Inference of Reticulate Phylogenies under the Multispecies Network Coalescent,PLOS GENETICS,90,2016
"Is invasion success of Australian trees mediated by their native biogeography, phylogenetic history, or both?",AOB PLANTS,19,2017
Inference of species phylogenies from bi-allelic markers using pseudo-likelihood,BIOINFORMATICS,19,2018
Counting Phylogenetic Networks with Few Reticulation Vertices: Galled and Reticulation-Visible Networks,BULLETIN OF MATHEMATICAL BIOLOGY,0,2024
