Article Title,Source Title,"Times Cited, All Databases",Publication Year
Detection of the Invasive Mosquito Species Aedes (Stegomyia) albopictus (Diptera: Culicidae) in Portugal,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,21,2018
Extended Impact of Pin1 Catalytic Loop Phosphorylation Revealed by S71E Phosphomimetic,JOURNAL OF MOLECULAR BIOLOGY,8,2018
Complexity of the Mycoplasma fermentans M64 Genome and Metabolic Essentiality and Diversity among Mycoplasmas,PLOS ONE,6,2012
The Kautsky curve is a built-in barcode,BIOPHYSICAL JOURNAL,42,1999
Genome-wide identification of MPK and MKK gene families and their responses to phytohormone treatment and abiotic stress in foxtail millet,PLANT GROWTH REGULATION,1,2023
Effect of long-term fertilization on bacterial communities in wheat endosphere,PEDOSPHERE,7,2021
"Endemic, endangered and evolutionarily significant: cryptic lineages in Seychelles' frogs (Anura: Sooglossidae)",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,12,2019
Co-evolutionary analysis implies auxiliary functions of HSP110 in Plasmodium falciparum,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,3,2015
mtDNA Lineages Reveal Coronary Artery Disease-Associated Structures in the Lebanese Population,ANNALS OF HUMAN GENETICS,7,2012
The iProClass integrated database for protein functional analysis,COMPUTATIONAL BIOLOGY AND CHEMISTRY,74,2004
Behavioral and Molecular Tracing of Risky Sexual Contacts in a Sample of Chinese HIV-infected Men Who Have Sex With Men,AMERICAN JOURNAL OF EPIDEMIOLOGY,21,2013
Identification of siderophores blocking infection of Pseudomonas aeruginosa from Kitasatospora sp. LS1784,JOURNAL OF ANTIBIOTICS,0,2024
Low pH induces simultaneous fungal bulking and nitrogen removal deterioration in an activated sludge reactor: Mechanisms based on microbial transboundary coevolution,JOURNAL OF CLEANER PRODUCTION,3,2023
Mitochondrial control-region sequence variation in aboriginal Australians,AMERICAN JOURNAL OF HUMAN GENETICS,41,1998
Differentially expressed bZIP transcription factors confer multi-tolerances in Gossypium hirsutum L.,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,53,2020
Cryptic species in the Andean hemiparasite Quinchamalium chilense (Schoepfiaceae: Santalales),SYSTEMATICS AND BIODIVERSITY,5,2018
Identification of MYB gene family and functional analysis of GhMYB4 in cotton (Gossypium spp.),MOLECULAR GENETICS AND GENOMICS,4,2023
SPATIAL GENETIC STRUCTURE OF SYMPATRIC POPULATIONS OF EREMANTHUS SPECIES IN BRAZIL: IMPLICATIONS FOR MANAGEMENT,JOURNAL OF TROPICAL FOREST SCIENCE,1,2023
Effect of matcha consumption on gut microbiota in healthy Japanese individuals: study protocol for a double-blind crossover interventional study,JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION,0,2022
Special Issue: Genetics of Biodegradation and Bioremediation,GENES,4,2020
"Catalytic, Computational, and Evolutionary Analysis of the D-Lactate Dehydrogenases Responsible for D-Lactic Acid Production in Lactic Acid Bacteria",JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,25,2018
Satellite telemetry and social modeling offer new insights into the origin of primate multilevel societies,NATURE COMMUNICATIONS,107,2014
Phylogeography of the widespread plant Ailanthus altissima (Simaroubaceae) in China indicated by three chloroplast DNA regions,JOURNAL OF SYSTEMATICS AND EVOLUTION,12,2014
CAMPways: constrained alignment framework for the comparative analysis of a pair of metabolic pathways,BIOINFORMATICS,14,2013
Mitochondrial DNA D-Loop Diversity of Tibetan Pig Populations,PHILIPPINE AGRICULTURAL SCIENTIST,6,2009
A Phylogenomic Assessment of Processes Underpinning Convergent Evolution in Open-Habitat Chats,MOLECULAR BIOLOGY AND EVOLUTION,4,2023
MADS-box genes:: Development and evolution of plant body plans,JOURNAL OF PHYCOLOGY,19,2000
Functional Dissection of the Oct6 Schwann Cell Enhancer Reveals an Essential Role for Dimeric Sox10 Binding,JOURNAL OF NEUROSCIENCE,84,2011
Genome-Wide Identification of MAPKK and MAPKKK Gene Family Members and Transcriptional Profiling Analysis during Bud Dormancy in Pear (Pyrus x bretschneideri),PLANTS-BASEL,2,2022
Polyploidy promotes divergent evolution across the leaf economics spectrum and plant edaphic niche in the Dianthus broteri complex,JOURNAL OF ECOLOGY,7,2022
Host selection pattern and flavivirus screening of mosquitoes in a disturbed Colombian rainforest,SCIENTIFIC REPORTS,5,2021
Phylogeography and species delimitation in convict cichlids (Cichlidae: Amatitlania): implications for taxonomy and Plio-Pleistocene evolutionary history in Central America,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,13,2017
Biocomputional construction of a gene network under acid stress in Synechocystis sp. PCC 6803,RESEARCH IN MICROBIOLOGY,5,2014
Genetic population structure of the paper wasp Polistes olivaceus (Hymenoptera: Vespidae) in Bangladesh,POPULATION ECOLOGY,7,2012
Genome evolution reveals biochemical networks and functional modules,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,139,2003
Genomic and co-expression network analyses reveal candidate genes for oil accumulation based on an introgression population in Upland cotton (Gossypium hirsutum),THEORETICAL AND APPLIED GENETICS,0,2024
Broad environmental adaptation of abundant microbial taxa in Robinia pseudoacacia forests during long-term vegetation restoration,ENVIRONMENTAL RESEARCH,0,2024
Antagonism correlates with metabolic similarity in diverse bacteria,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,101,2017
A short tandem repeat-based phylogeny for the human Y chromosome,AMERICAN JOURNAL OF HUMAN GENETICS,131,2000
"Genome-Wide Identification, Characterization of bHLH Transcription Factors in Mango",TROPICAL PLANT BIOLOGY,15,2021
Phylogenetic and expression analysis of histone acetyltransferases in Brachypodium distachyon,GENOMICS,6,2019
Multiple gene genealogy reveals high genetic diversity and evidence for multiple origins of Chinese Plasmopara viticola population,SCIENTIFIC REPORTS,15,2017
Trypanosomatid histones,MOLECULAR MICROBIOLOGY,60,2004
Molecular identification of phenylalanine ammonia lyase-encoding genes EfPALs and EfPAL2-interacting transcription factors in Euryale ferox,FRONTIERS IN PLANT SCIENCE,4,2023
Gene Duplication and Loss in a MADS Box Gene Transcription Factor Circuit,MOLECULAR BIOLOGY AND EVOLUTION,31,2011
In-silico identification and characterization of lipase gene sequences present in hexaploid wheat,SOUTH AFRICAN JOURNAL OF BOTANY,0,2023
Fin-fold development in paddlefish and catshark and implications for the evolution of the autopod,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,29,2017
Posttranscriptional regulation of cellulose synthase genes by small RNAs derived from cellulose synthase antisense transcripts,PLANT DIRECT,1,2021
Comprehensive molecular profiling of the B7 family in gastrointestinal cancer,CELL PROLIFERATION,7,2018
Comparative genomic analysis of the Sm gene family in rice and maize,GENE,16,2014
Spontaneous cortical activity in awake monkeys composed of neuronal avalanches,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,437,2009
"Occurrence of Thelazia callipaeda and its vector Phortica variegata in Austria and South Tyrol, Italy, and a global comparison by phylogenetic network analysis",PARASITES & VECTORS,0,2023
Genome-wide investigation and expression pattern of PHR family genes in cotton under low phosphorus stress,PEERJ,0,2022
The Diversity and Co-occurrence Patterns of N2-Fixing Communities in a CO2-Enriched Grassland Ecosystem,MICROBIAL ECOLOGY,51,2016
Large-sized planktonic bioaggregates possess high biofilm formation potentials: Bacterial succession and assembly in the biofilm metacommunity,WATER RESEARCH,37,2020
Identifying metabolic enzymes with multiple types of association evidence,BMC BIOINFORMATICS,96,2006
Intrinsic disorder in flaviviral capsid proteins and its role in pathogenesis,JOURNAL OF BIOSCIENCES,0,2024
"Specialization on Ficus Supported by Genetic Divergence and Morphometrics in Sympatric Host-Populations of the Camellia Aphid, Aphis aurantii",FRONTIERS IN ECOLOGY AND EVOLUTION,5,2021
Genome-wide analysis of the GRAS gene family in Chinese cabbage (Brassica rapa ssp pekinensis),GENOMICS,123,2014
Molecular Characterization of Bemisia tabaci Populations in Tunisia: Genetic Structure and Evidence for Multiple Acquisition of Secondary Symbionts,ENVIRONMENTAL ENTOMOLOGY,14,2011
"Grateloupia huertana sp nov (Halymeniaceae, Rhodophyta), a peculiar new prostrate species from tropical Pacific Mexico",PHYCOLOGIA,22,2005
"Cauda epididymal spermatozoa of the rufous hare wallaby, Lagorchestes hirsutus (Metatheria, Mammalia) imaged by electron and confocal microscopy",ACTA ZOOLOGICA,3,2003
Analysis of correlations between sites in models of protein sequences,PHYSICAL REVIEW E,18,1998
Characterization of influenza A/Fujian/411/2002(H3N2)-like viruses isolated in Portugal between 2003 and 2005,JOURNAL OF MEDICAL VIROLOGY,5,2008
"Molecular genetics and epidemiological characteristics of HIV-1 epidemic strains in various sexual risk behaviour groups in developed Eastern China, 2017-2020",EMERGING MICROBES & INFECTIONS,6,2022
Phylostratigraphic analysis of gene co-expression network reveals the evolution of functional modules for ovarian cancer,SCIENTIFIC REPORTS,6,2019
Genome-wide annotation and expression analysis of WRKY and bHLH transcriptional factor families reveal their involvement under cadmium stress in tomato (Solanum lycopersicum L.),FRONTIERS IN PLANT SCIENCE,10,2023
Microbial community structure and its driving mechanisms in the Hangbu estuary of Chaohu Lake under different sedimentary areas,ENVIRONMENTAL RESEARCH,0,2023
Histamine-Immunoreactive Local Neurons in the Antennal Lobes of the Hymenoptera,JOURNAL OF COMPARATIVE NEUROLOGY,23,2010
The Synergism between Methanogens and Methanotrophs and the Nature of their Contributions to the Seasonal Variation of Methane Fluxes in a Wetland: The Case of Dajiuhu Subalpine Peatland,ADVANCES IN ATMOSPHERIC SCIENCES,5,2022
Embracing the comparative approach: how robust phylogenies and broader developmental sampling impacts the understanding of nervous system evolution,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,68,2015
ggMOB: Elucidation of genomic conjugative features and associated cargo genes across bacterial genera using genus-genus mobilization networks,FRONTIERS IN GENETICS,0,2022
"HIV-1 genetic transmission networks among men who have sex with men in Kunming, China",PLOS ONE,37,2018
"Composition and Function of Bacterial Communities of Bryophytes and Their Underlying Sediments in the Dajiuhu Peatland, Central China",JOURNAL OF EARTH SCIENCE,3,2023
Systems scale characterization of circadian rhythm pathway in Camellia sinensis,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,4,2022
"Molecular Epidemiology of HIV-1 in Jiangsu Province, Southeast China: Genotypes and HIV-1 Transmission Networks Among Newly Diagnosed Men Having Sex with Men in 2017",AIDS RESEARCH AND HUMAN RETROVIRUSES,13,2021
Co-existing water and sediment bacteria are driven by contrasting environmental factors across glacier-fed aquatic systems,WATER RESEARCH,85,2021
Transcriptome analysis of MYB transcription factors family and PgMYB genes involved in salt stress resistance in Panax ginseng,BMC PLANT BIOLOGY,8,2022
Within-Host Bacterial Diversity Hinders Accurate Reconstruction of Transmission Networks from Genomic Distance Data,PLOS COMPUTATIONAL BIOLOGY,125,2014
Comprehensive analyses of potential key genes in active tuberculosis A systematic review,MEDICINE,8,2021
Basin-scale distribution and haplotype partitioning in different genetic lineages of the Neotropical migratory fish Salminus brasiliensis,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,10,2018
"What you sample is what you get: ecomorphological variation in Trithemis (Odonata, Libellulidae) dragonfly wings reconsidered",BMC ECOLOGY AND EVOLUTION,1,2022
Chemical and microbiological safety of drinking water in distribution networks made of plastic pipes,WILEY INTERDISCIPLINARY REVIEWS-WATER,1,2024
Response of chloramphenicol-reducing biocathode resistome to continuous electrical stimulation,WATER RESEARCH,86,2019
"Population structure of the dusky pipefish (Syngnathus floridae) from the Atlantic and Gulf of Mexico, as revealed by mitochondrial DNA and microsatellite analyses",JOURNAL OF BIOGEOGRAPHY,28,2010
tRNA Signatures Reveal a Polyphyletic Origin of SAR11 Strains among Alphaproteobacteria,PLOS COMPUTATIONAL BIOLOGY,7,2014
"Molecular Tracking of the Origin of Vesicular Stomatitis Outbreaks in 2004 and 2018, Ecuador",VETERINARY SCIENCES,3,2023
"Chloroplast and ITS phylogenies to understand the evolutionary history of southern South American Azorella, Laretia and Mulinum (Azorelloideae, Apiaceae)",MOLECULAR PHYLOGENETICS AND EVOLUTION,12,2017
Genetic diversity analysis of the invasive gall pest Leptocybe invasa (Hymenoptera: Apodemidae) from China,PLOS ONE,3,2021
Geographical range overlap networks and the macroecology of species co-occurrence,PLOS ONE,1,2022
Genetic analysis of Ghanaian G1P[8] and G9P[8] rotavirus A strains reveals the impact of P[8] VP4 gene polymorphism on P-genotyping,PLOS ONE,8,2019
Understanding the cross-talk of major abiotic-stress-responsive genes in rice: A computational biology approach,JOURNAL OF KING SAUD UNIVERSITY SCIENCE,0,2023
Semi-permeable species boundaries in the coral genus Madracis: Introgression in a brooding coral system,MOLECULAR PHYLOGENETICS AND EVOLUTION,52,2010
"Bacteria From the Multi-Contaminated Tinto River Estuary (SW, Spain) Show High Multi-Resistance to Antibiotics and Point to Paenibacillus spp. as Antibiotic-Resistance-Dissemination Players",FRONTIERS IN MICROBIOLOGY,11,2020
The Alpha Variant (B.1.1.7) of SARS-CoV-2 Failed to Become Dominant in Mexico,MICROBIOLOGY SPECTRUM,14,2022
Analysis of virulence proteins in pathogenic Acinetobacter baumannii to provide early warning of zoonotic risk,MICROBIOLOGICAL RESEARCH,0,2023
The influence of climate oscillations and geological events on population differentiation of Camponotus japonicus in the Chinese mainland,ECOLOGY AND EVOLUTION,0,2024
"Risk Evaluation of Pathogenic Intestinal Protozoa Infection Among Laboratory Macaques, Animal Facility Workers, and Nearby Villagers From One Health Perspective",FRONTIERS IN VETERINARY SCIENCE,6,2021
"Implementation and use of whole genome sequencing (WGS) in the surveillance of Invasive pneumococcal disease, Czech Republic, 2017-2019",EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,1,2020
Within-species lateral genetic transfer and the evolution of transcriptional regulation in Escherichia coli and Shigella,BMC GENOMICS,19,2011
Biogeography and diversification of hermit spiders on Indian Ocean islands (Nephilidae: Nephilengys),MOLECULAR PHYLOGENETICS AND EVOLUTION,49,2011
Is Haemoproteus gabaldoni a valid species? An approach from morphology and molecular tools applied to parasites of Anseriformes,ACTA TROPICA,3,2022
A deep learning approach to real-time HIV outbreak detection using genetic data,PLOS COMPUTATIONAL BIOLOGY,2,2022
Rhizosheath microbial community assembly of sympatric desert speargrasses is independent of the plant host,MICROBIOME,88,2018
Large African herbivore diversity is essential in transformed landscapes for conserving dung beetle diversity,JOURNAL OF APPLIED ECOLOGY,6,2022
Resolving the taxonomic identities and genetic structure of two cryptic Platynereis Kinberg species from South Africa,INVERTEBRATE SYSTEMATICS,13,2020
"Molecular detection, identification and phylogenetic inference of Leishmania spp. in some desert lizards from Northwest China by using internal transcribed spacer 1 (ITS1) sequences",ACTA TROPICA,14,2016
Genomic Characterization of a Halovirus Representing a Novel Siphoviral Cluster,VIRUSES-BASEL,0,2023
Sequencing of hsp70 for discernment of species from the Leishmania (Viannia) guyanensis complex from endemic areas in Colombia,PARASITES & VECTORS,2,2022
"Evolving between land and water: key questions on the emergence and history of the Hippopotamidae (Hippopotamoidea, Cetancodonta, Cetartiodactyla)",BIOLOGICAL REVIEWS,71,2011
Genome-wide identification and expression analysis of the AT-hook Motif Nuclear Localized gene family in soybean,BMC GENOMICS,30,2021
Genome-wide identification and expression profiling of Pseudo-Response Regulator (PRR) gene family in tomato,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,0,2024
"Genetic diversity and phylogeography of Corynosoma australe Johnston, 1937 (Acanthocephala: Polymorphidae), an endoparasite of otariids from the Americas in the northern and southern hemispheres",PARASITOLOGY INTERNATIONAL,14,2021
"Microbial risk assessment of Nocardia cyriacigeorgica in polluted environments, case of urban rainfall water",COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,4,2021
First insights into the population genetic structure and the phylogeographic status of the Mehely's horseshoe bat Rhinolophus mehelyi (Chiroptera: Rhinolophidae) in Iran inferred from mitochondrial genes,MAMMALIAN BIOLOGY,4,2019
Phylogenetic evidence for underreporting of male-to-male sex among human immunodeficiency virus-infected donors in the Netherlands and Flanders,TRANSFUSION,10,2017
"Integrating biogeography, threat and evolutionary data to explore extinction crisis in the taxonomic group of cycads",ECOLOGY AND EVOLUTION,31,2017
JPhyloIO: a Java library for event-based reading and writing of different phylogenetic file formats through a common interface,BMC BIOINFORMATICS,0,2019
Phylogenetic relationships and phylogeography of relevant lineages within the complex Campanulaceae family in Macaronesia,ECOLOGY AND EVOLUTION,15,2018
Variations and trade-offs in leaf and culm functional traits among 77 woody bamboo species,BMC PLANT BIOLOGY,0,2024
"Neighbourhood watch: genomic epidemiology of SARS-CoV-2 variants circulating in a German federal state, Mecklenburg-Western Pomerania, in 2020-2022",EMERGING MICROBES & INFECTIONS,0,2023
"Revised Taxonomy of the Arctotis Annual Clade (Arctotideae, Asteraceae) from Southern Africa: Integration of Molecular Phylogenetic and Morphological Evidence",SYSTEMATIC BOTANY,1,2022
Genome-wide identification of ABA receptor PYL/RCAR gene family and their response to cold stress in Medicago sativa L,PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS,22,2021
Critically endangered island endemic or peripheral population of a widespread species? Conservation genetics of Kikuchi's gecko and the global challenge of protecting peripheral oceanic island endemic vertebrates,DIVERSITY AND DISTRIBUTIONS,21,2014
"Phylogenetic analysis of nitrite, nitric oxide, and nitrous oxide respiratory enzymes reveal a complex evolutionary history for denitrification",MOLECULAR BIOLOGY AND EVOLUTION,428,2008
"Rumen ciliates (Alveolata, Ciliophora) associated with goats: checklist, geographic distribution, host specificity, phylogeny and molecular dating",ZOOTAXA,2,2022
Multiple diversity facets of crucial microbial groups in biological soil crusts promote soil multifunctionality,GLOBAL ECOLOGY AND BIOGEOGRAPHY,13,2021
A molecular physiology basis for functional diversity of hydrogen peroxide production amongst Symbiodinium spp. (Dinophyceae),MARINE BIOLOGY,50,2017
Genetic Affinities within a Large Global Collection of Pathogenic Leptospira: Implications for Strain Identification and Molecular Epidemiology,PLOS ONE,53,2010
"High HIV diversity, recombination, and superinfection revealed in a large outbreak among persons who inject drugs in Kentucky and Ohio, USA",VIRUS EVOLUTION,0,2024
Comparative phylogenomic and structural analysis of canonical secretory PLA2 and novel PLA2-like family in plants,FRONTIERS IN PLANT SCIENCE,1,2023
Phylogeographic patterns of Merodon hoverflies in the Eastern Mediterranean region: revealing connections and barriers,ECOLOGY AND EVOLUTION,38,2016
Phylogenetic and population genetic analysis of Salmonella enterica subsp enterica serovar Infantis strains isolated in Japan using whole genome sequence data,INFECTION GENETICS AND EVOLUTION,13,2014
"Temporal Trends and Molecular Epidemiology of HIV Type 1 Infection in Rio de Janeiro, Brazil",AIDS RESEARCH AND HUMAN RETROVIRUSES,10,2013
"Variation of partial transferrin sequences and phylogenetic relationships among hares (Lepus capensis, Lagomorpha) from Tunisia",GENETICA,7,2016
Predicting predator-prey interactions in terrestrial endotherms using random forest,ECOGRAPHY,2,2023
Re-Introduction of West Nile Virus Lineage 1 in Senegal from Europe and Subsequent Circulation in Human and Mosquito Populations between 2012 and 2021,VIRUSES-BASEL,4,2022
Phylogeographic study using nuclear genome sequences of Asip to infer the origins of ventral fur color variation in the house mouse Mus musculus,GENES & GENETIC SYSTEMS,1,2021
"Identifying functional groups among the diverse, recombining antigenic var genes of the malaria parasite Plasmodium falciparum from a local community in Ghana",PLOS COMPUTATIONAL BIOLOGY,2,2018
A Novel Approach to Helicobacter pylori Pan-Genome Analysis for Identification of Genomic Islands,PLOS ONE,14,2016
On the Origin and Evolutionary History of NANOG,PLOS ONE,23,2014
Low Divergence of Clonorchis sinensis in China Based on Multilocus Analysis,PLOS ONE,20,2013
Evolution of Retinoid and Steroid Signaling: Vertebrate Diversification from an Amphioxus Perspective,GENOME BIOLOGY AND EVOLUTION,39,2011
Genetic variation and cryptic lineage among the sergestid shrimp Acetes americanus (Decapoda),PEERJ,2,2023
Genetic origin of goat populations in Oman revealed by mitochondrial DNA analysis,PLOS ONE,14,2017
Primate Disease Ecology in Comparative and Theoretical Perspective,AMERICAN JOURNAL OF PRIMATOLOGY,52,2012
Sage Insights Into the Phylogeny of Salvia: Dealing With Sources of Discordance Within and Across Genomes,FRONTIERS IN PLANT SCIENCE,15,2021
Molecular characterization of HIV-1 infection in Northwest Spain (2009-2013): Investigation of the subtype F outbreak,INFECTION GENETICS AND EVOLUTION,19,2015
Conservation of Neotropical carnivores under different prioritization scenarios: mapping species traits to minimize conservation conflicts,DIVERSITY AND DISTRIBUTIONS,42,2008
Carcinogenesis of Male Oral Submucous Fibrosis Alters Salivary Microbiomes,JOURNAL OF DENTAL RESEARCH,19,2021
"Comparative Genomic Analysis of Third-Generation-Cephalosporin-Resistant Escherichia coli Harboring the blaCMY-2-Positive IncI1 Group, IncB/O/K/Z, and IncC Plasmids Isolated from Healthy Broilers in Japan",ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,10,2020
Evolution of transcriptional networks in yeast: alternative teams of transcriptional factors for different species,BMC GENOMICS,6,2016
Extensive introgression among strongylocentrotid sea urchins revealed by phylogenomics,ECOLOGY AND EVOLUTION,0,2023
"A molecular and ecological study of Macracanthorhynchus ingens (von Linstow, 1879) (Acanthocephala: Archiacanthocephala), in its paratenic and definitive hosts in southeastern Mexico and the Eastern USA",SYSTEMATIC PARASITOLOGY,2,2023
"Transcriptome-Based Identification, Characterization, Evolutionary Analysis, and Expression Pattern Analysis of the WRKY Gene Family and Salt Stress Response in Panax ginseng",HORTICULTURAE,4,2022
Comparison of genetic diversity and population structure of eight Macrobrachium nipponense populations in China based on D-loop sequences,AQUACULTURE REPORTS,6,2022
Phylogenomic analyses of the East Asian endemic Abelia (Caprifoliaceae) shed insights into the temporal and spatial diversification history with widespread hybridization,ANNALS OF BOTANY,7,2022
Molecular cloning and characterization of vanillin dehydrogenase from Streptomyces sp NL15-2K,BMC MICROBIOLOGY,10,2018
Population genetic analysis of Myzopoda (Chiroptera: Myzopodidae) in Madagascar,JOURNAL OF MAMMALOGY,23,2008
Multidimensional beta-diversity across local and regional scales in a Chinese subtropical forest: The role of forest structure,ECOLOGY AND EVOLUTION,0,2023
Morphological description and molecular identification of Myxobolus dajiangensis n. sp. (Myxozoa: Myxobolidae) from the gill of Cyprinus carpio in southwest China,PEERJ,4,2022
Multilocus Sequence Typing Reveals Extensive Genetic Diversity of the Emerging Fungal Pathogen Scedosporium aurantiacum,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,5,2021
Genome-Wide Identification and Expression Profiling of the Polygalacturonase (PG) and Pectin Methylesterase (PME) Genes in Grapevine (Vitis vinifera L.),INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,36,2019
Improving prediction of heterodimeric protein complexes using combination with pairwise kernel,BMC BIOINFORMATICS,8,2018
Phylogenetic species delimitation for crayfishes of the genus Pacifastacus,PEERJ,29,2016
"Community structure of marine bacterioplankton: patterns, networks, and relationships to function",AQUATIC MICROBIAL ECOLOGY,211,2008
Evolution of posture in amniotes-Diving into the trabecular architecture of the femoral head,JOURNAL OF EVOLUTIONARY BIOLOGY,0,2023
"New insights from Gorongosa National Park and Niassa National Reserve of Mozambique increasing the genetic diversity of Trypanosoma vivax and Trypanosoma vivax-like in tsetse flies, wild ungulates and livestock from East Africa",PARASITES & VECTORS,19,2017
"Structural, functional, and bioinformatics studies reveal a new snake venom homologue phospholipase A2 class",PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,41,2011
The deep evolution of metazoan microRNAs,EVOLUTION & DEVELOPMENT,803,2009
Unraveling the evolutionary history of the phosphoryl-transfer chain of the phosphoenolpyruvate:: phosphotransferase system through phylogenetic analyses and genome context,BMC EVOLUTIONARY BIOLOGY,23,2008
Genome-Wide Identification and Expression Analysis of the Basic Leucine Zipper (bZIP) Transcription Factor Gene Family in Fusarium graminearum,GENES,4,2022
Computational identification of regulatory DNAs underlying animal development,NATURE METHODS,24,2005
Phylogenomic analysis provides diagnostic tools for the identification of Anastrepha fraterculus (Diptera: Tephritidae) species complex,EVOLUTIONARY APPLICATIONS,1,2023
Phylogenomics reveals widespread hybridization and polyploidization in Henckelia (Gesneriaceae),ANNALS OF BOTANY,2,2023
Assessing the uncertainty around age-mixing patterns in HIV transmission inferred from phylogenetic trees,PLOS ONE,1,2021
Phylogeography and character evolution of Euphorbia sect. Aphyllis subsect. Macaronesicae (Euphorbiaceae),TAXON,8,2017
Diversity hotspots and conservation gaps for the Chinese endemic seed flora,BIOLOGICAL CONSERVATION,119,2016
Classification of Bartonella Strains Associated with Straw-Colored Fruit Bats (Eidolon helvum) across Africa Using a Multi-locus Sequence Typing Platform,PLOS NEGLECTED TROPICAL DISEASES,27,2015
"Systematics, conservation and morphology of the spider genus Tayshaneta (Araneae, Leptonetidae) in Central Texas Caves",ZOOKEYS,16,2012
Phylogenomic inference of species and subspecies diversity in the Palearctic salamander genus Salamandra,MOLECULAR PHYLOGENETICS AND EVOLUTION,25,2021
Modelling the current and future biodiversity distribution in the Chilean Mediterranean hotspot. The role of protected areas network in a warmer future,DIVERSITY AND DISTRIBUTIONS,21,2019
"Genetic Heterogeneity Reveals On-Going Speciation and Cryptic Taxonomic Diversity of Stream-Dwelling Gudgeons (Teleostei, Cyprinidae) in the Middle Danubian Hydrosystem (Hungary)",PLOS ONE,15,2014
A systematic view of rice heat shock transcription factor family using phylogenomic analysis,JOURNAL OF PLANT PHYSIOLOGY,39,2013
MSM starting preexposure prophylaxis are at risk of hepatitis C virus infection,AIDS,102,2017
Multigene Assessment of the Species Boundaries and Sexual Status of the Basidiomycetous Yeasts Cryptococcus flavescens and C. terrestris (Tremellales),PLOS ONE,31,2015
Molecular phylogenetic analysis of Echinococcus granulosus sensu lato infecting sheep in Italy,ACTA TROPICA,0,2024
Genome-wide analysis and characterization of R2R3-MYB family in pigeon pea (Cajanus cajan) and their functional identification in phenylpropanoids biosynthesis,PLANTA,13,2021
Multilocus phylogenetics in a widespread African anuran lineage (Brevicipitidae: Breviceps) reveals patterns of diversity reflecting geoclimatic change,JOURNAL OF BIOGEOGRAPHY,12,2018
Histology of the heterostracan dermal skeleton: Insight into the origin of the vertebrate mineralised skeleton,JOURNAL OF MORPHOLOGY,34,2015
"EVOLUTIONARY RELATIONSHIPS, GYNODIOECY, AND POLYPLOIDY IN THE GALAPAGOS ENDEMIC LYCIUM MINIMUM (SOLANACEAE)",INTERNATIONAL JOURNAL OF PLANT SCIENCES,9,2015
Post-Pleistocene range expansion of the recently imperiled eastern little brown bat (Myotis lucifugus lucifugus) from a single southern refugium,ECOLOGY AND EVOLUTION,15,2011
Isolation of new bacterial species from drinking water biofilms and proof of their in situ dominance with highly specific 16S rRNA probes,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,147,1997
Traditional taxonomy underestimates the number of species of Bokermannohyla (Amphibia: Anura: Hylidae) diverging in the mountains of southeastern Brazil since the Miocene,SYSTEMATICS AND BIODIVERSITY,1,2023
Phylogenetic and recombination analysis of the herpesvirus genus varicellovirus,BMC GENOMICS,30,2017
"International trades, local spread and viral evolution: The case of porcine circovirus type 2 (PCV2) strains heterogeneity in Italy",INFECTION GENETICS AND EVOLUTION,32,2015
Southern crossroads of the Western Palaearctic during the Late Pleistocene and their imprints on current patterns of genetic diversity: insights from the mosquito Aedes caspius,JOURNAL OF BIOGEOGRAPHY,25,2011
"A SHORT INTRODUCTION TO SOME RECENT PROGRESS IN PHYLOGENETIC NETWORK RECONSTRUCTION, GENOME MAPPING, GENE EXPRESSION ANALYSIS, MOLECULAR DYNAMIC SIMULATION, AND OTHER PROBLEMS IN BIOINFORMATICS",JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,1,2012
