Article Title,Source Title,"Times Cited, All Databases",Publication Year
Ten years of progress in the study of Hadena-Caryophyllaceae nursery pollination. A review in light of new Mediterranean data,FLORA,10,2017
Metagenomic analysis and functional characterization of the biogas microbiome using high throughput shotgun sequencing and a novel binning strategy,BIOTECHNOLOGY FOR BIOFUELS,201,2016
Multiple Pleistocene refugia and post-glacial colonization in the European chub (Squalius cephalus) revealed by combined use of nuclear and mitochondrial markers,JOURNAL OF BIOGEOGRAPHY,35,2012
Gene prediction in metagenomic fragments: A large scale machine learning approach,BMC BIOINFORMATICS,70,2008
cis-regulatory analysis of the Drosophila pdm locus reveals a diversity of neural enhancers,BMC GENOMICS,12,2015
Transmission Patterns of HIV-Subtypes A/AE versus B: Inferring Risk-Behavior Trends and Treatment-Efficacy Limitations from Viral Genotypic Data Obtained Prior to and during Antiretroviral Therapy,PLOS ONE,10,2013
Assembly dynamics of eukaryotic plankton and bacterioplankton in the Yangtze River estuary: A hybrid community perspective,MARINE ENVIRONMENTAL RESEARCH,0,2024
Early inoculation of an endophyte alters the assembly of bacterial communities across rice plant growth stages,MICROBIOLOGY SPECTRUM,1,2023
Genome-wide identification and expression analysis of the Dof gene family under drought stress in tea (Camellia sinensis),PEERJ,17,2020
Identifying Chagas disease vectors using elliptic Fourier descriptors of body contour: a case for the cryptic dimidiata complex,PARASITES & VECTORS,12,2020
Northern origin and diversification in the central lowlands? - Complex phylogeography and taxonomy of widespread day geckos (Phelsuma) from Madagascar,ORGANISMS DIVERSITY & EVOLUTION,14,2013
Macroecological trend of increasing values of intraspecific genetic diversity and population structure from temperate to tropical streams,GLOBAL ECOLOGY AND BIOGEOGRAPHY,7,2021
Dynamic network connectivity influences the spread of a sub-lineage of porcine reproductive and respiratory syndrome virus,TRANSBOUNDARY AND EMERGING DISEASES,10,2022
"Multiplex Strategy for Multilocus Sequence Typing, fla Typing, and Genetic Determination of Antimicrobial Resistance of Campylobacter jejuni and Campylobacter coli Isolates Collected in Switzerland",JOURNAL OF CLINICAL MICROBIOLOGY,62,2009
Epidemiological and virological surveillance of influenza viruses in China during 2020-2021,INFECTIOUS DISEASES OF POVERTY,23,2022
"Genome-wide identification, characterization, and expression analysis of keratin genes (KRTs) family in yak (Bos grunniens)",GENE,6,2022
Genetic evidence from Indian red jungle fowl corroborates multiple domestication of modern day chicken,BMC EVOLUTIONARY BIOLOGY,142,2008
Genome-Wide Identification and Expression Profiling of the ABF Transcription Factor Family in Wheat (Triticum aestivum L.),INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,0,2024
The sweet tabaiba or there and back again: phylogeographical history of the Macaronesian Euphorbia balsamifera,ANNALS OF BOTANY,2,2024
Walnut N-Acetylserotonin Methyltransferase Gene Family Genome-Wide Identification and Diverse Functions Characterization During Flower Bud Development,FRONTIERS IN PLANT SCIENCE,9,2022
The Pharmacological Mechanism of Guchangzhixie Capsule Against Experimental Colitis,FRONTIERS IN PHARMACOLOGY,5,2021
The persistence of bacterial diversity and ecosystem multifunctionality along a disturbance intensity gradient in karst soil,SCIENCE OF THE TOTAL ENVIRONMENT,44,2020
Bacterial assembly during the initial adhesion phase in wastewater treatment bio fi lms,WATER RESEARCH,34,2020
The Gaggle: An open-source software system for integrating bioinformatics software and data sources,BMC BIOINFORMATICS,144,2006
"The origin, dissemination, and molecular networks of HIV-1 CRF65_cpx strain in Hainan Island, China",BMC INFECTIOUS DISEASES,0,2024
Tree peony PsMYB44 negatively regulates petal blotch distribution by inhibiting dihydroflavonol-4-reductase gene expression,ANNALS OF BOTANY,8,2023
Genome-wide discovery of viral microRNAs based on phylogenetic analysis and structural evolution of various human papillomavirus subtypes,BRIEFINGS IN BIOINFORMATICS,13,2018
"HIV-1 Genetic Characteristics and Transmitted Drug Resistance among Men Who Have Sex with Men in Kunming, China",PLOS ONE,45,2014
Auditory object perception: A neurobiological model and prospective review,NEUROPSYCHOLOGIA,19,2017
"Molecular phylogenetics of Amorpha (Fabaceae): An evaluation of monophyly, species relationships, and polyploid origins",MOLECULAR PHYLOGENETICS AND EVOLUTION,9,2014
"Networks, Trees, and Treeshrews: Assessing Support and Identifying Conflict with Multiple Loci and a Problematic Root",SYSTEMATIC BIOLOGY,29,2009
"Gene duplication and the origins of morphological complexity in pancrustacean eyes, a genomic approach",BMC EVOLUTIONARY BIOLOGY,56,2010
Genome-Wide Identification and Analysis of Ariadne Gene Family Reveal Its Genetic Effects on Agronomic Traits of Brassica napus,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,3,2022
Multimodal bioinformatic analyses of the neurodegenerative disease-associated TECPR2 gene reveal its diverse roles,JOURNAL OF MEDICAL GENETICS,0,2022
"Neofusicoccum caryigenum, a new species causing leaf dieback disease of pecan (Carya illinoinensis)",MYCOLOGIA,6,2021
Distributions of chlorinated paraffins and the effects on soil microbial community structure in a production plant brownfield site,ENVIRONMENTAL POLLUTION,29,2020
The Mitochondrial COI Gene Reveals the Genetic Diversity of Chub Mackerel (Scomber japonicus) in the Taiwan Strait and its Adjacent Waters,PAKISTAN JOURNAL OF ZOOLOGY,3,2019
A coevolution analysis for identifying protein-protein interactions by Fourier transform,PLOS ONE,24,2017
PYK10 myrosinase reveals a functional coordination between endoplasmic reticulum bodies and glucosinolates in Arabidopsis thaliana,PLANT JOURNAL,103,2017
Chloroplast haplotypes suggest preglacial differentiation and separate postglacial migration paths for the threatened North American forest tree Juglans cinerea L.,TREE GENETICS & GENOMES,20,2015
Spatiotemporal resource distribution and foraging strategies of ants (Hymenoptera: Formicidae),MYRMECOLOGICAL NEWS,89,2014
"A large-scale phylogeny of Synodontis (Mochokidae, Siluriformes) reveals the influence of geological events on continental diversity during the Cenozoic",MOLECULAR PHYLOGENETICS AND EVOLUTION,28,2013
Low Evolutionary Diversification in a Widespread and Abundant Uncultured Protist (MAST-4),MOLECULAR BIOLOGY AND EVOLUTION,30,2012
Divergent sympatric lineages of the Atlantic and Indian Ocean crinoid Tropiometra carinata,INVERTEBRATE BIOLOGY,8,2012
A vacuolar-type proton (H+) translocating ATPase α subunit encoded by the Hc-vha-6 gene of Haemonchus contortus,MOLECULAR AND CELLULAR PROBES,4,2010
Rhodopseudomonas palustris regulons detected by cross-species analysis of alphaproteobacterial genomes,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,17,2005
Biodiversity and core microbiota of key-stone ecological clusters regulate compost maturity during cow-dung-driven composting,ENVIRONMENTAL RESEARCH,0,2024
"Functional Characterization of a New Salt Stress Response Gene, PeCBL4, in Populus euphratica Oliv",FORESTS,1,2023
A panel of diverse Klebsiella pneumoniae clinical isolates for research and development,MICROBIAL GENOMICS,6,2023
Nramp: Deprive and conquer?,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,3,2022
Assessing conservation priorities of endemic seed plants in the central Himalaya (Nepal): A complementarity and phylogenetic diversity approach,BIOLOGICAL CONSERVATION,8,2021
"Uncovering the shell game with barcodes: diversity of meiofaunal Caecidae snails (Truncatelloidea, Caenogastropoda) from Central America",ZOOKEYS,3,2020
Adaptive selection and coevolution at the proteins of the Polycomb repressive complexes in Drosophila,HEREDITY,3,2016
"Phylogeography of Ophryotrocha labronica (Polychaeta, Dorvilleidae) along the Italian coasts",MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,8,2015
Chromosomal Redistribution of Male-Biased Genes in Mammalian Evolution with Two Bursts of Gene Gain on the X Chromosome,PLOS BIOLOGY,52,2010
"The mussel Xenostrobus securis: a well-established alien invader in the Ria de Vigo (Spain, NE Atlantic)",BIOLOGICAL INVASIONS,45,2010
Quasispecies-like behavior observed in catalytic RNA populations evolving in a test tube,BMC EVOLUTIONARY BIOLOGY,22,2010
Mitochondrial Cytochrome b Sequence Variations and Population Structure of Siberian Chipmunk (Tamias sibiricus) in Northeastern Asia and Population Substructure in South Korea,MOLECULES AND CELLS,41,2008
AffyTrees: Facilitating comparative analysis of affymetrix plant microarray chips,PLANT PHYSIOLOGY,9,2008
Progressive multiple sequence alignments from triplets,BMC BIOINFORMATICS,18,2007
Improving enzyme functional annotation by integrating in vitro and in silico approaches: The example of histidinol phosphate phosphatases,PROTEIN SCIENCE,1,2024
"TBtools-II: A one for all, all for onebioinformatics platform for biological big-data mining",MOLECULAR PLANT,147,2023
Identification and Functional Characterization of the Nonexpressor of Pathogenesis-Related Genes 1 (NPR1) Gene in the Tea Plant (Camellia sinensis),FORESTS,1,2023
"Analysis of the complete mitogenome of Daphnia galeata from the Han River, South Korea: structure comparison and control region evolution",FUNCTIONAL & INTEGRATIVE GENOMICS,1,2023
"Genetic diversity of wild rodents and detection of Coxiella burnetii, the causative agent of Q fever, in Saudi Arabia",VETERINARY RESEARCH COMMUNICATIONS,2,2022
A phylogenetic investigation of the taxonomically problematic Eucalyptus odorata complex (E. section Adnataria series Subbuxeales): evidence for extensive interspecific gene flow and reticulate evolution,AUSTRALIAN SYSTEMATIC BOTANY,2,2022
"Statewide Longitudinal Trends in Transmitted HIV-1 Drug Resistance in Rhode Island, USA",OPEN FORUM INFECTIOUS DISEASES,0,2022
Evolution Analyses of CAMTA Transcription Factor in Plants and Its Enhancing Effect on Cold-tolerance,FRONTIERS IN PLANT SCIENCE,12,2021
A Revised Classification of Glossopetalon (Crossosomataceae) Based on Restriction Site-Associated DNA Sequencing,SYSTEMATIC BOTANY,0,2021
Genomics accurately predicts antimicrobial resistance in Staphylococcus pseudintermedius collected as part of Vet-LIRN resistance monitoring,VETERINARY MICROBIOLOGY,13,2021
Whole Genome Sequencing of SARS-CoV-2: Adapting Illumina Protocols for Quick and Accurate Outbreak Investigation during a Pandemic,GENES,53,2020
"Recombination Analysis of Near Full-Length HIV-1 Sequences and the Identification of a Potential New Circulating Recombinant Form from Rakai, Uganda",AIDS RESEARCH AND HUMAN RETROVIRUSES,4,2020
Mitochondrial DNA phylogeography of Spodoptera exigua across a broad geographic area in China,JOURNAL OF APPLIED ENTOMOLOGY,4,2017
A genetic analysis of the Italian Salernitano horse,ANIMAL,4,2015
Marine algae and land plants share conserved phytochrome signaling systems,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,103,2014
Genome sequence of the model sulfate reducer Desulfovibrio gigas: a comparative analysis within the Desulfovibrio genus,MICROBIOLOGYOPEN,24,2014
Genome-Wide Identification of MAPKK and MAPKKK Gene Families in Tomato and Transcriptional Profiling Analysis during Development and Stress Response,PLOS ONE,97,2014
"Nucleotide diversity based on csd gene of the black giant honey bee, Apis laboriosa (Hymenoptera: Apidae)",EUROPEAN JOURNAL OF ENTOMOLOGY,5,2013
Mitochondrial DNA Detects a Complex Evolutionary History with Pleistocene Epoch Divergence for the Neotropical Malaria Vector Anopheles nuneztovari Sensu Lato,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,28,2011
"Pathogen Profile of Klebsiella variicola, the Causative Agent of Banana Sheath Rot",PLANT DISEASE,1,2023
Over-expression of rice R1-type MYB transcription factor confers different abiotic stress tolerance in transgenic Arabidopsis,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,19,2020
"Contrasting phylogeographic patterns of earthworms (Crassiclitellata, Lumbricidae) on near-shore mediterranean islands",EUROPEAN JOURNAL OF SOIL BIOLOGY,7,2020
Biogeographic regions and events of isolation and diversification of the endemic biota of the tropical Andes,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,178,2018
Genetic diversity of the swamp rat in South America: Population expansion after transgressive-regressive marine events in the Late Quaternary,MAMMALIAN BIOLOGY,6,2015
"Quaternary diversification in a sexual Holarctic zooplankter, Daphnia galeata",MOLECULAR ECOLOGY,70,2007
Evolutionary history and functional implications of protein domains and their combinations in eukaryotes,GENOME BIOLOGY,51,2007
PsNRT2.3 interacts with PsNAR to promote high-affinity nitrate uptake in pea (Pisum sativum L.),PLANT PHYSIOLOGY AND BIOCHEMISTRY,0,2024
Indian Red Jungle fowl reveals a genetic relationship with South East Asian Red Jungle fowl and Indian native chicken breeds as evidenced through whole mitochondrial genome sequences,FRONTIERS IN GENETICS,0,2023
"Diversity, Relationship, and Distribution of Virophages and Large Algal Viruses in Global Ocean Viromes",VIRUSES-BASEL,0,2023
Evolutionary and Ecological Aspects of the Population Structure Formation of Sockeye Salmon Oncorhynchus nerka (Salmonidae) in Western Kamchatka,JOURNAL OF ICHTHYOLOGY,0,2023
Full-length transcriptome sequencing reveals the molecular mechanism of monoterpene and sesquiterpene biosynthesis in Cinnamomum burmannii,FRONTIERS IN GENETICS,2,2023
Protein kinase PpCIPK1 modulates plant salt tolerance in Physcomitrella patens,PLANT MOLECULAR BIOLOGY,4,2021
Identification and characterization ofPaGL1-likegenes fromPlatanus acerifoliarelated to the regulation of trichomes,PLANT MOLECULAR BIOLOGY,2,2020
Inter-relation analysis of signaling adaptors of porcine innate immune pathways,MOLECULAR IMMUNOLOGY,6,2020
Global genetic diversity of Spirometra tapeworms,TROPICAL BIOMEDICINE,3,2020
"Genetic Diversity, Phylogeography and Population gene flow of Tunisian Pistacia vera L.",TURKISH JOURNAL OF BOTANY,2,2019
Variable dispersal histories across the Drake Passage: The case of coastal benthic Foraminifera,MARINE MICROPALEONTOLOGY,7,2018
Structure-based analysis of Bacilli and plasmid dihydrofolate reductase evolution,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,2,2017
Neofunctionalization of young duplicate genes in Drosophila,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,153,2013
Morphological and molecular variation in tiger beetles of the Cicindela hybrida complex: is an 'integrative taxonomy' possible?,MOLECULAR ECOLOGY,58,2009
Characterization of taxonomically restricted genes in a phylum-restricted cell type,GENOME BIOLOGY,54,2009
SlGH9-15 regulates tomato fruit cracking with hormonal and abiotic stress responsiveness cis-elements,JOURNAL OF INTEGRATIVE AGRICULTURE,2,2023
Comprehensive genomic characterization of cotton cationic amino acid transporter genes reveals that GhCAT10D regulates salt tolerance,BMC PLANT BIOLOGY,3,2022
The CYP707A Gene Family in Strawberry (Fragaria x ananassa),BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,1,2021
Discovery of Formicomyces microglobosus gen. et sp. nov. strengthens the hypothesis of independent evolution of ant-associated fungi in Trichomeriaceae,FUNGAL BIOLOGY,0,2023
Polyaspartic acid facilitated rice production by reshaping soil microbiome,APPLIED SOIL ECOLOGY,1,2023
Avian Haemosporidian Diversity on Sardinia: A First General Assessment for the Insular Mediterranean,DIVERSITY-BASEL,15,2021
"Determination of genetic variations in the genus Dryomys Thomas, 1906 (Rodentia: Gliridae) distributed in Turkey using NADH dehydrogenase 1 (ND1) gene",MITOCHONDRIAL DNA PART A,6,2018
HIV-1 Genetic Diversity in Northeastern Brazil: High Prevalence of Non-B Subtypes,AIDS RESEARCH AND HUMAN RETROVIRUSES,6,2017
Arctic Pholoe (Polychaeta: Pholoidae): when integrative taxonomy helps to sort out barcodes,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,11,2017
How Many Parasites Species a Frog Might Have? Determinants of Parasite Diversity in South American Anurans,PLOS ONE,47,2015
Phylogenetic analysis between domestic and wild duck species in Korea using mtDNA D-loop sequences,MOLECULAR BIOLOGY REPORTS,12,2014
Characterization and co-expression analysis of WRKY orthologs involved in responses to multiple abiotic stresses in Pak-choi (Brassica campestris ssp. chinensis),BMC PLANT BIOLOGY,48,2013
Mind the fish: zebrafish as a model in cognitive social neuroscience,FRONTIERS IN NEURAL CIRCUITS,142,2013
"Sifting through genomes with iterative-sequence clustering produces a large, phylogenetically diverse protein-family resource",BMC BIOINFORMATICS,17,2012
Genomic Characterization of Human Rotavirus G8 Strains From the African Rotavirus Network: Relationship to Animal Rotaviruses,JOURNAL OF MEDICAL VIROLOGY,75,2009
Phenological diversity in tropical forests,POPULATION ECOLOGY,136,2001
High floral trait diversity of aquatic plants in the Pantanal reveals different pollination strategies,AQUATIC BOTANY,0,2024
Comprehensive Identification of the β-Amylase (BAM) Gene Family in Response to Cold Stress in White Clover,PLANTS-BASEL,0,2024
"Characterization and genomic analysis of a novel lytic phage vB_PstM_ZRG1 infecting Stutzerimonas stutzeri, representing a new viral genus, Elithevirus",VIRUS RESEARCH,0,2023
"New phylogenetic insights on some species of Unionidae from Switzerland (Bivalvia, Palaeoheterodonta, Unionidae)",HYDROBIOLOGIA,1,2022
Endoplasmic reticulum aminopeptidase-1 polymorphism increases the risk of rheumatoid arthritis,TURKISH JOURNAL OF BIOCHEMISTRY-TURK BIYOKIMYA DERGISI,0,2022
Genome-wide analysis and transcriptional reprogrammings of MYB superfamily revealed positive insights into abiotic stress responses and anthocyanin accumulation in Carthamus tinctorius L.,MOLECULAR GENETICS AND GENOMICS,20,2022
Genetic variations and relationships between deformed wing virus strains infesting honey bees based on structural proteins,BIOLOGIA,0,2021
"Multilocus Typing of Enterocytozoon bieneusi in Pig Reveals the High Prevalence, Zoonotic Potential, Host Adaptation and Geographical Segregation in China",JOURNAL OF EUKARYOTIC MICROBIOLOGY,26,2019
Turmeric (Curcuma longa): miRNAs and their regulating targets are involved in development and secondary metabolite pathways,COMPTES RENDUS BIOLOGIES,30,2017
Phylogeography of Schizopygopsis stoliczkai (Cyprinidae) in Northwest Tibetan Plateau area,ECOLOGY AND EVOLUTION,7,2017
Phylogenetic visualization of the spread of H7 influenza A viruses,CLADISTICS,7,2015
"Systematic review of severe fever with thrombocytopenia syndrome: virology, epidemiology, and clinical characteristics",REVIEWS IN MEDICAL VIROLOGY,159,2014
Assessing and conserving groundwater biodiversity: synthesis and perspectives,FRESHWATER BIOLOGY,104,2009
NOVEL PATTERN OF EDITING REGIONS IN MITOCHONDRIAL TRANSCRIPTS OF THE CRYPTOBIID TRYPANOPLASMA-BORRELI,EMBO JOURNAL,58,1994
"Genome-Wide Identification, Evolution, and Expression Analysis of GASA Gene Family in Prunus mume",INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,8,2022
"Evolutionary history of the Aztec shiner Aztecula sallaei (Gunther, 1868) (Teleostei: Cyprinidae): An endemic and monotypic species of Mexico",JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,2,2021
The evolving species concepts used for yeasts: from phenotypes and genomes to speciation networks,FUNGAL DIVERSITY,32,2021
Urbanization Constrains Skin Bacterial Phylogenetic Diversity in Wild Fish Populations and Correlates with the Proliferation of Aeromonads,MICROBIAL ECOLOGY,3,2021
Phylogeography and population genetic structure of flowering cherry species Cerasus dielsiana in subtropical China,SYSTEMATICS AND BIODIVERSITY,10,2019
Developmental transcriptomics of the brittle star Amphiura filiformis reveals gene regulatory network rewiring in echinoderm larval skeleton evolution,GENOME BIOLOGY,28,2018
Multivariate Meta-Analysis of Brain-Mass Correlations in Eutherian Mammals,FRONTIERS IN NEUROANATOMY,7,2016
Phylogeography of Cyananthus delavayi (Campanulaceae) in Hengduan Mountains inferred from variation in nuclear and chloroplast DNA sequences,JOURNAL OF SYSTEMATICS AND EVOLUTION,20,2012
"Genetic variation in Turkish honeybees Apis mellifera anatoliaca, A. m. caucasica, A. m. meda (Hymenoptera: Apidae) inferred from RFLP analysis of three mtDNA regions (16S rDNA-COI-ND5)",EUROPEAN JOURNAL OF ENTOMOLOGY,11,2012
"Across mountains and ocean: species delimitation and historical connectivity in Holarctic and Arctic-Alpine wolf spiders (Lycosidae, Pardosa)",INSECT SYSTEMATICS AND DIVERSITY,0,2023
Phylogeographical analysis shows the need to protect the wild yaks' last refuge in Nepal,ECOLOGY AND EVOLUTION,1,2021
"Genetic diversity and population structure of selected lacustrine and riverine populations of African catfish, Clarias gariepinus (Burchell, 1822), in Kenya",JOURNAL OF APPLIED ICHTHYOLOGY,9,2021
"Assessing changes in arthropod predator-prey interactions through DNA-based gut content analysis-variable environment, stable diet",MOLECULAR ECOLOGY,60,2019
Evolution of mustard (Brassica juncea Coss) subspecies in China: evidence from the chalcone synthase gene,GENETICS AND MOLECULAR RESEARCH,15,2016
"Shell morphology and genetic characteristics of Corbula (Potamocorbula) spp. (Bivalvia: Corbulidae) from the waters adjacent to Japan, Korea and San Francisco Bay",AQUATIC BIOLOGY,8,2013
Genetic variation at mtDNA and microsatellite loci in Chinese longsnout catfish (Leiocassis longirostris),MOLECULAR BIOLOGY REPORTS,17,2012
The origin of Triticum petropavlovskyi Udacz. et Migusch.: demonstration of the utility of the genes encoding plastid acetyl-CoA carboxylase sequence,MOLECULAR BREEDING,12,2010
Evidence for recent gene flow between north-eastern and south-eastern Madagascan poison frogs from a phylogeography of the Mantella cowani group,FRONTIERS IN ZOOLOGY,24,2007
Genome-wide identification and integrated analysis of TCP genes controlling ginsenoside biosynthesis in Panax ginseng,BMC PLANT BIOLOGY,0,2024
Isolation and Identification of Multidrug-Resistant Klebsiella pneumoniae Clones from the Hospital Environment,PATHOGENS,4,2023
Multiple roles of TaCPP family genes during growth and stress treatment,CROP SCIENCE,0,2022
SaAlign: Multiple DNA/RNA sequence alignment and phylogenetic tree construction tool for ultra-large datasets and ultra-long sequences based on suffix array,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,1,2022
Human activities' fingerprint on multitrophic biodiversity and ecosystem functions across a major river catchment in China,GLOBAL CHANGE BIOLOGY,57,2020
Similar yet different: phylogenomic analysis to delineate Salmonella and Citrobacter species boundaries,BMC GENOMICS,11,2020
Molecular Phylogeography of China Roe Deer Population Based on MtDNA D-Loop Gene,INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY,1,2020
Pluralization through epistemic competition: scientific change in times of data-intensive biology,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,6,2019
"Species limits and cryptic biogeographic structure in a widespread complex of Australian monsoon tropics trees (broad-leaf paperbarks: Melaleuca, Myrtaceae)",AUSTRALIAN SYSTEMATIC BOTANY,6,2018
"Genome-wide identification, classification and expression pattern of LBD gene family in Camellia sinensis",BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,9,2018
Exploring the evolutionary signature of food webs' backbones using functional traits,OIKOS,16,2016
Inability to Process Negative Emotions in Cerebellar Damage: a Functional Transcranial Doppler Sonographic Study,CEREBELLUM,30,2015
Integrated evolutionary analysis of human miRNA gene clusters and families implicates evolutionary relationships,GENE,33,2014
Genetic perspectives on Lion Conservation Units in Eastern and Southern Africa,CONSERVATION GENETICS,35,2013
On the presence of pipistrelle bats (Pipistrellus and Hypsugo; Chiroptera: Vespertilionidae) in Sardinia,ACTA CHIROPTEROLOGICA,21,2011
Characterizing the Metabolism of Dehalococcoides with a Constraint-Based Model,PLOS COMPUTATIONAL BIOLOGY,49,2010
Microarray analysis of orthologous genes:: conservation of the translational machinery across species at the sequence and expression level -: art. no. R4,GENOME BIOLOGY,26,2003
"Ultrastructure of a haplosporidian containing Rickettsiae, associated with mortalities among cultured paua Haliotis iris",DISEASES OF AQUATIC ORGANISMS,39,2002
Recent past connections between Amazonian and Atlantic forests by comparative phylogeography and paleodistribution models for didelphid mammals,EVOLUTIONARY ECOLOGY,0,2024
Comparative Venom Multiomics Reveal the Molecular Mechanisms Driving Adaptation to Diverse Predator-Prey Ecosystems in Closely Related Sea Snakes,MOLECULAR BIOLOGY AND EVOLUTION,1,2023
"Genome-wide identification, molecular characterization, and gene expression analyses of honeysuckle NHX antiporters suggest their involvement in salt stress adaptation",PEERJ,6,2022
Co-expression network analyses of anthocyanin biosynthesis genes in Ruellia (Wild Petunias; Acanthaceae),BMC ECOLOGY AND EVOLUTION,1,2022
Genome-wide identification and evolution of WNK kinases in Bambusoideae and transcriptional profiling during abiotic stress in Phyllostachys edulis,PEERJ,7,2022
"SARS-CoV-2 Genome Analysis of Pediatric Patients in Konya Region, Turkey",JOURNAL OF PEDIATRIC INFECTIOUS DISEASES,0,2021
Genome-Wide Identification and Expression Analysis of AP2/ERF Transcription Factor Related to Drought Stress in Cultivated Peanut (Arachis hypogaea L.),FRONTIERS IN GENETICS,21,2021
Genome-Wide Identification and Evolutionary Analysis of Gossypium Tubby-Like Protein (TLP) Gene Family and Expression Analyses During Salt and Drought Stress,FRONTIERS IN PLANT SCIENCE,15,2021
"Life-history features and oceanography drive phylogeographic patterns of the chiton Acanthochitona cf. rubrolineata (Lischke, 1873) in the northwestern Pacific",PEERJ,5,2020
Investigation of intra-herd spread of Mycobacterium caprae in cattle by generation and use of a whole-genome sequence,VETERINARY RESEARCH COMMUNICATIONS,10,2017
Speciation network in Laurasiatheria: retrophylogenomic signals,GENOME RESEARCH,33,2017
De Novo Transcriptome Analysis of Plant Pathogenic Fungus Myrothecium roridum and Identification of Genes Associated with Trichothecene Mycotoxin Biosynthesis,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,9,2017
The JpL species of the Bemisia tabaci complex in Korea: Detection by an extensive field survey and analysis of COI sequence variability,JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,6,2016
Identification and genetic analysis of the pinewood nematode Bursaphelenchus xylophilus from Pinus yunnanensis,FOREST PATHOLOGY,9,2015
"Polyphyly, gene-duplication and extensive allopolyploidy framed the evolution of the ephemeral Vulpia grasses and other fine-leaved Loliinae (Poaceae)",MOLECULAR PHYLOGENETICS AND EVOLUTION,16,2014
"Characterization of a domesticated tree lineage (Spondias purpurea, Anacardiaceae) based on nuclear and chloroplast sequence data",JOURNAL OF THE TORREY BOTANICAL SOCIETY,8,2008
An evolutionary perspective on eukaryotic membrane trafficking,EUKARYOTIC MEMBRANES AND CYTOSKELETON: ORIGINS AND EVOLUTION,49,2007
"Biogeographic distribution, assembly processes and potential nutrient cycling functions of myxobacteria communities in typical agricultural soils in China",SCIENCE OF THE TOTAL ENVIRONMENT,0,2024
Idea paper: How are ecosystem services related to biodiversity and ecological integrity in each site under climate change?,ECOLOGICAL RESEARCH,1,2022
"Population genetic structure of sharpbelly Hemiculter leucisculus (Basilesky, 1855) and morphological diversification along climate gradients in China",ECOLOGY AND EVOLUTION,6,2021
Genetic Diversity of the root-knot nematode Meloidogyne enterolobii in Mulberry Based on the Mitochondrial COI Gene,ECOLOGY AND EVOLUTION,7,2020
Hundreds of novel composite genes and chimeric genes with bacterial origins contributed to haloarchaeal evolution,GENOME BIOLOGY,32,2018
Characterization of a novel zinc finger transcription factor (TaZnF) from wheat conferring heat stress tolerance in Arabidopsis,CELL STRESS & CHAPERONES,41,2018
Building a genomic framework for prospective MRSA surveillance in the United Kingdom and the Republic of Ireland,GENOME RESEARCH,46,2016
Host-Plant Species Conservatism and Ecology of a Parasitoid Fig Wasp Genus (Chalcidoidea; Sycoryctinae; Arachonia),PLOS ONE,16,2012
"Pleistocene-driven diversification in freshwater zooplankton: Genetic patterns of refugial isolation and postglacial recolonization in Leptodora kindtii (Crustacea, Cladocera)",LIMNOLOGY AND OCEANOGRAPHY,36,2011
Mitochondrial Genetic Diversity and Phylogenetic Relationships of Siberian Flying Squirrel (Pteromys volans) Populations,ANIMAL CELLS AND SYSTEMS,17,2008
"Origin, genetic diversity, and population structure of Chinese domestic sheep",GENE,88,2006
The evolutionary drivers and correlates of viral host jumps,NATURE ECOLOGY & EVOLUTION,2,2024
Response of soil bacteria community to experiment warming in three agroecosystems of the Tibet,GLOBAL ECOLOGY AND CONSERVATION,0,2024
Duck hepatitis a virus: Full-length genome-based phylogenetic and phylogeographic view during 1986-2020,VIRUS RESEARCH,1,2023
GhCKX14 responding to drought stress by modulating antioxi-dative enzyme activity in Gossypium hirsutum compared to CKX family genes,BMC PLANT BIOLOGY,0,2023
"Characterization of eyes, photoreceptors, and opsins in developmental stages of the arrow worm Spadella cephaloptera (Chaetognatha)",JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,1,2023
